Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2020.03.14.R,Mar-2020,Provoked,New Zealand,North Island,"Stanmore Bay, Auckland",N,Unknown,Unknown,Fishing,White,"Stanmore Bay, Auckland, North Island, New Zealand","(-36.6264707, 174.7250956)",-36.6264707,174.7250956
2020.03.02,Mar-2020,Unprovoked,Fiji,Vanua Levu,"Tawake, Cakaudrove",N,Early Morning,Unknown,Fishing,Unknown,"Tawake, Cakaudrove, Vanua Levu, Fiji","(-16.246223, 179.855944)",-16.246223,179.855944
2020.02.22,Feb-2020,Unprovoked,New Zealand,North Island,Pauanui Beach,N,11h30,Morning,Surfing,White,"Pauanui Beach, North Island, New Zealand","(-37.016098, 175.8676543)",-37.016098,175.8676543
2020.02.05,Feb-2020,Unprovoked,United States,Maui,Wailea,N,09h40,Morning,Surfing,Tiger,"Wailea, Maui, United States","(20.6871826, -156.4391668)",20.6871826,-156.4391668
2020.02.01,Feb-2010,Unprovoked,French Polynesia,Marquesas,Ua Huka,N,06h30,Morning,Rowing,Unknown,"Ua Huka, Marquesas, French Polynesia","(-8.9077726, -139.5483671)",-8.9077726,-139.5483671
2020.01.30.R,Jan-2020,Provoked,Bahamas,Exuma,Exumas,N,Unknown,Unknown,Swimming,Unknown,"Exumas, Exuma, Bahamas","(23.6192598, -75.96954649999999)",23.6192598,-75.96954649999999
2020.01.17,Jan-2020,Unprovoked,Australia,New South Wales,Windang Beach,N,08h00,Morning,Surfing,Unknown,"Windang Beach, New South Wales, Australia","(-34.5343248, 150.8745658)",-34.5343248,150.8745658
2020.01.16,Jan-2020,Unprovoked,New Zealand,Southland,Oreti Beach,N,20h30,Evening,Surfing,Unknown,"Oreti Beach, Southland, New Zealand","(-46.4369169, 168.2448936)",-46.4369169,168.2448936
2020.01.13,Jan-2020,Unprovoked,United States,North Carolina,"Rodanthe, Dare County",N,14h33,Afternoon,Surfing,Unknown,"Rodanthe, Dare County, North Carolina, United States","(35.600383, -75.4655882)",35.600383,-75.4655882
2020.01.12,Jan-2020,Unprovoked,Thailand,Phang Nga Province,Nang Thong Beach,N,07h15,Morning,Swimming,Unknown,"Nang Thong Beach, Phang Nga Province, Thailand","(8.645083399999999, 98.2513733)",8.645083399999999,98.2513733
2020.01.07,Jan-2020,Unprovoked,Australia,Queensland,North West Island,N,17h30,Afternoon,Swimming,Lemon,"North West Island, Queensland, Australia","(-23.2950882, 151.7078724)",-23.2950882,151.7078724
2020.01.05,Jan-2020,Unprovoked,Australia,Western Australia,Cull Island,Y,13h00,Afternoon,Diving,White,"Cull Island, Western Australia, Australia","(-33.9221794, 121.9032181)",-33.9221794,121.9032181
2020.01.03,Jan-2020,Unprovoked,New Caledonia,Calana,Calana,N,Afternoon,Afternoon,Unknown,Unknown,"Calana, Calana, New Caledonia","(-20.904305, 165.618042)",-20.904305,165.618042
2020.01.02,Jan-2020,Not Confirmed,Australia,Western Australia,Esperance,Y,16h10,Afternoon,Swimming,Unknown,"Esperance, Western Australia, Australia","(-33.8613953, 121.8912724)",-33.8613953,121.8912724
2019.12.30,Dec-2019,Unprovoked,Australia,Queensland,North West Island,N,12h58,Afternoon,Swimming,White,"North West Island, Queensland, Australia","(-23.2950882, 151.7078724)",-23.2950882,151.7078724
2019.12.28,Dec-2019,Unprovoked,Seychelles,Praslin,Amitié Beach,N,19h00,Evening,Swimming,Unknown,"Amitié Beach, Praslin, Seychelles","(-4.3325908, 55.74672589999999)",-4.3325908,55.74672589999999
